db_rowid,original,formatted_variant,suggested_reference,similarity_score
22830,Ф.Васильева,ул. Ф.Васильева,Г.Васильева,90.91
23611,Черепичный,ул. Черепичный,Черепичная,80.0
23614,б-рЮбелейный,ул. Б-рЮбелейный,Б-Юбилейный,86.96
23813,Коминтена,ул. Коминтена,Коминтерна,94.74
23845,"ДМ, Павлова","ул. ДМ, Павлова",Дм Павлова,85.71
23878,114,ул. 114,11,80.0
23883,Парпшютистов,ул. Парпшютистов,Парашютистов,91.67
23950,2 Зеленая,ул. 2 Зеленая,1 Зеленая,88.89
23988,Полиндровая,ул. Полиндровая,Цилиндровая,81.82
24011,В.Волжская набережная,наб. В.Волжская,Волжская Набережная,88.89
24081,Светлоярскя,ул. Светлоярскя,Светлоярская,95.65
24082,Н.Гасстселло,ул. Н.Гасстселло,Н.Гастелло,90.91
24105,Цилковского,ул. Цилковского,Циолковского,95.65
24133,Архнгелская,ул. Архнгелская,Архангельская,91.67
24152,Стрелочная,ул. Стрелочная,Стрелковая,80.0
24157,102,ул. 102,10,80.0
24282,Ф. энгельса,ул. Ф. энгельса,Ф. Энгельса,90.91
24292,ДМ. Павлова,ул. ДМ. Павлова,Дм. Павлова,90.91
24373,Моторный пер.2,пер. Моторный 2,пер.Моторный,88.89
24435,Поюшева,ул. Поюшева,Поющева,85.71
24600,Орджаникидзе,ул. Орджаникидзе,Орджоникидзе,91.67
24603,Щербинки1- мкр,мкр. Щербинки1,Щербинки-1 мкр,94.74
24720,Академика Чазова,ул. Академика Чазова,Академика Павлова,84.85
24753,Свелая,ул. Свелая,Светлая,92.31
24888,Меднолетейная,ул. Меднолетейная,Меднолитейная,92.31
25108,Ж-Дорожная,ул. Ж-Дорожная,Дорожная,88.89
25140,Ген. Самочкина,ул. Ген. Самочкина,Гер.Самочкина,88.89
25336,Лушкина,ул. Лушкина,Пушкина,85.71
25364,Ген.Земина,ул. Ген.Земина,Ген.Зимина,90.0
25399,Энгельса24,ул. Энгельса24,Энгельса,88.89
25446,Энгнльса,ул. Энгнльса,Энгельса,87.5
25556,Напольно-Выстовочная,ул. Напольно-Выстовочная,Напольно-Выставочная,95.0
25767,Адм.Масарова,ул. Адм.Масарова,Адм.Макарова,91.67
25988,Генер. Ивлиева,ул. Генер. Ивлиева,Ген. Ивлиева,92.31
26024,пер.Первостроительный,пер. Первостроительный,пер.Первостроителей,87.5
26113,Заречная 78,ул. Заречная 78,Заречная,84.21
26155,б. Юбелейный,ул. Б. Юбелейный,Б.Юбелейный,95.65
26165,Им.Комарова,ул. Им.Комарова,Комарова,84.21
26200,Октябрская,ул. Октябрская,Октябрьская,95.24
26230,Централья,ул. Централья,Центральная,90.0
26332,Землячка,ул. Землячка,Землячки,87.5
26386,пр.Ильина,пр-кт Ильина,пр.Ильича,83.33
26478,Дубравная4линия,ул. Дубравная4линия,Дубравная 4 линия,93.75
26707,Культура,ул. Культура,Культуры,87.5
26727,пр -тЛенина,пр-кт ТЛенина,пр-т Ленина,93.33
26747,ДмюПавлова,ул. ДмюПавлова,Дм.Павлова,90.0
26889,1 е Мая,ул. 1 е Мая,1е Мая,92.31
26978,Вожская,ул. Вожская,Волжская,93.33
26990,Ст Канава,ул. Ст Канава,Ст.Канава,88.89
27006,Б-р Юбилеейный,б-р Юбилеейный,Юбилейный б-р,94.74
27068,Мигурина,ул. Мигурина,Мичурина,87.5
27082,Верхияя,ул. Верхияя,Верхняя,85.71
27116,СНТ Сокол сад,СНТ Сокол сад,снт Сокол сад 1,90.0
27117,Ильчича пр.,пр-кт Ильчича,пр.Ильича,92.31
27213,Делегацкая,ул. Делегацкая,Делегатская,85.71
27263,2- линия,ул. 2- линия,2-я линия,94.12
27265,1ая Железнодорожная,ул. 1ая Железнодорожная,Железнодорожная,88.24
27344,Автомиханическая,ул. Автомиханическая,Автомеханическая,93.75
27377,О. Кошевого,ул. О. Кошевого,О.Кошевого,95.24
27523,Толоконцевский,ул. Толоконцевский,Толоконцево,80.0
27617,Б- Покровская,ул. Б- Покровская,Б.Покровская,88.0
27812,Типличная,ул. Типличная,Тепличная,88.89
27911,Ломаносова,ул. Ломаносова,Ломоносова,90.0
27933,А.Люкина,ул. А.Люкина,А. Люкина,94.12
28060,Киреевская,ул. Киреевская,Киевская,88.89
28084,Вож. Революции,ул. Вож. Революции,В. Революции,92.31
28179,Мировская,ул. Мировская,Кировская,88.89
28214,Леснова,ул. Леснова,Лескова,85.71
28219,пер 1- октябрьский,пер. 1- октябрьский,пер.Октябрьский,80.0
28250,м.Седова,ул. М.Седова,Седова,85.71
28283,Комсмомогльская,ул. Комсмомогльская,Комсомольская,92.86
28430,Лебедева-кумача,ул. Лебедева-кумача,Лебедева-Кумача,93.33
28541,Рубинччика,ул. Рубинччика,Рубинчика,94.74
28662,Покровского,ул. Покровского,Воровского,85.71
28759,2 -Линия,ул. 2 -Линия,2 Линия,93.33
28812,Мнчникова,ул. Мнчникова,Мечникова,88.89
29111,Понова,ул. Понова,Попова,83.33
29191,Березовская96,ул. Березовская96,Березовская,91.67
29197,Осипнко,ул. Осипнко,Осипенко,93.33
29284,Рябцова,ул. Рябцова,Рябцева,85.71
29286,б.починковская,ул. Б.починковская,Б.Починковская,92.86
29386,Московское шоосе,ул. Московское шоосе,ул.Московское шоссе,93.75
29400,Мокрусова,ул. Мокрусова,Мокроусова,94.74
29585,Чаадаевва,ул. Чаадаевва,Чаадаева,94.12
29617,Рим. Корсакова,ул. Рим. Корсакова,Р. Корсакова,92.31
29657,Б. Советская,ул. Б. Советская,Советская,85.71
29666,Чаапаева,ул. Чаапаева,Чапаева,93.33
29668,Харенко,ул. Харенко,Харенка,85.71
29743,50- летиеПобеды,ул. 50- летиеПобеды,50-летие Победы,93.33
29761,2-й мик-он,ул. 2-й мик-он,2 мик-он,88.89
30021,Береховская,ул. Береховская,Березовская,90.91
30041,Юбилейныйб-р,ул. Юбилейныйб-р,Юбелейныйб-р,91.67
30108,Б.60-лет Октября,ул. Б.60-лет Октября,60лет Октября,89.66
30247,Ст Производственников,ул. Ст Производственников,Ст.Производственников,95.24
30397,пр Дзержиского,пр-кт Дзержиского,пр.Дзержинского,95.65
30430,Максима горького,ул. Максима горького,Максима Горького,93.75
30705,Люкна,ул. Люкна,Люкина,90.91
30711,пер. Комчатский,пер. Комчатский,пер.Камчатский,90.0
30875,Днепровская,ул. Днепровская,Деповская,90.0
30910,8-марта,ул. 8-марта,8марта,92.31
31167,Афанасьево,ул. Афанасьево,Афанасьева,90.0
31545,11а,ул. 11а,11,80.0
31564,Судостроильная,ул. Судостроильная,Судостроительная,93.33
31583,Льнозаводская,ул. Льнозаводская,Лесозаводская,84.62
31732,Бурнаковский пр.,пр-кт Бурнаковский,пр-д Бурнаковский,92.31
31830,Б. Юбелейный,ул. Б. Юбелейный,Б.Юбелейный,95.65
31860,Огрородная,ул. Огрородная,Огородная,94.74
31977,Ярморочный пр.,пр-кт Ярморочный,Ярморочный пр-д,86.96
32032,Дпргомыжского,ул. Дпргомыжского,Даргомыжского,92.31
32033,М. Каазакова,ул. М. Каазакова,М. Казакова,95.65
32062,ПланетнаЯ,ул. ПланетнаЯ,Планетная,88.89
32093,Глеба Успнгского,ул. Глеба Успнгского,Глеба Успенского,93.75
32096,Лубянскаая,ул. Лубянскаая,Лубянская,94.74
32130,Щербинки,ул. Щербинки,Щербинки-1,88.89
32153,162,ул. 162,16,80.0
32179,бПанина,ул. БПанина,Б.Панина,93.33
32393,Кечасово,ул. Кечасово,Кечасова,87.5
32448,Вождей Ркволюции,ул. Вождей Ркволюции,Вождей Революции,93.75
32653,Г.Попова,ул. Г.Попова,Гер.Попова,88.89
32671,Евг. Мерошникова,ул. Евг. Мерошникова,Евг. Мирошникова,93.75
32684,А.- Вавилова,ул. А.- Вавилова,А. Вавилова,95.65
32762,Уванова,ул. Уванова,Иванова,85.71
32763,Волжская 16,ул. Волжская 16,Волжская,84.21
32869,Крминтерна,ул. Крминтерна,Коминтерна,90.0
33061,Ивановна,ул. Ивановна,Иванова,93.33
33124,Трафяная,ул. Трафяная,Травяная,87.5
33297,с.Разина,ул. С.Разина,Ст.Разина,94.12
33352,Ккльтуры,ул. Ккльтуры,Культуры,87.5
33465,Б- Бруевича,ул. Б- Бруевича,Бонч-Бруевича,83.33
33469,1го Мая,ул. 1го Мая,1 Мая,83.33
33483,Як Петрова,ул. Як Петрова,Петрова,82.35
33532,гер Попова,ул. Гер Попова,гер. Попова,95.24
33573,Горшечная,ул. Горшечная,Горочная,82.35
33676,Крсаных зорь,ул. Крсаных зорь,Красных зорь,91.67
33734,Ив Чугурина,ул. Ив Чугурина,Ив. Чугурина,95.65
33802,герКосмоса,ул. ГерКосмоса,Гер.Космоса,95.24
33828,Марш. Казакова,ул. Марш. Казакова,М. Казакова,88.0
34078,Федосееенко,ул. Федосееенко,Федосеенко,95.24
34177,Березовсеая,ул. Березовсеая,Березовская,90.91
34265,Иванова василия,ул. Иванова василия,Иванова Василия,93.33
34417,Маршала Чуйкова,ул. Маршала Чуйкова,Маршала Жукова,89.66
34566,Н. Линия,ул. Н. Линия,2 Линия,80.0
34658,Дубравная 11 л,ул. Дубравная 11 л,Дубравная 11 линия,87.5
34666,Шутова,ул. Шутова,Бутова,83.33
34803,Станисловская,ул. Станисловская,Стахановская,80.0
34921,Голована,ул. Голована,Голованова,88.89
34949,Ефимова,ул. Ефимова,Ефремова,80.0
35002,Сельхозтехники тер,ул. Сельхозтехники тер,Сельхозтехника,81.25
35162,Цилоковского,ул. Цилоковского,Циолковского,91.67
35257,Кв.Лесной,ул. Кв.Лесной,Кв-л Лесной,80.0
35264,М. Жукова,ул. М. Жукова,Жукова,80.0
35287,1- ое Мая,ул. 1- ое Мая,1-ое Мая,94.12
35301,гер. Поаова,ул. Гер. Поаова,гер. Попова,90.91
35309,Советский Армии,ул. Советский Армии,Советской Армии,93.33
35326,Г. Елисеева,ул. Г. Елисеева,Елисеева,84.21
35439,2 Чапаева,ул. 2 Чапаева,Чапаева,87.5
35457,40 лет пион. Организации,ул. 40 лет пион. Организации,40 лет Пион.организации,89.36
35478,Косманавтов,ул. Косманавтов,Космонавтов,90.91
35588,Кр.Текстильщик,ул. Кр.Текстильщик,Текстильщиков,81.48
35650,ст Пески,ул. Ст Пески,Ст.Пески,87.5
35654,1 Лесная,ул. 1 Лесная,1-я Лесная,88.89
35890,Социалестическая,ул. Социалестическая,Социалистическая,93.75
35974,8е марта,ул. 8е марта,8-е марта,94.12
36091,Юбилейныйб.р,ул. Юбилейныйб.р,Юбилейный б,86.96
36199,Бкорнилова,ул. Бкорнилова,Б.Корнилова,85.71
36242,б-рПобеды,ул. Б-рПобеды,Победы,80.0
36344,пр. Крпаблестроителей,пр-кт Крпаблестроителей,пр-кт Кораблестроителей,94.12
36416,Пягорская,ул. Пягорская,Пятигорская,90.0
36494,Днепропетровский,ул. Днепропетровский,Днепропетровская,87.5
36571,Сериевка,ул. Сериевка,Сергиевская,84.21
36729, Бкорнилова,ул. Бкорнилова,Б.Корнилова,85.71
36824,70 лет Победы,ул. 70 лет Победы,40 лет Победы,92.31
36854,Побеная,ул. Побеная,Победная,93.33
36867,пр.Г ероев,пр-кт Г ероев,пр-кт Героев,92.31
36889,Фендосеенко,ул. Фендосеенко,Федосеенко,95.24
36893,Ген Клюева,ул. Ген Клюева,Ген.Клюева,90.0
37120,Москвское ш,ш. Москвское,Московское шоссе,94.74
37178,Кораблсетроителей,ул. Кораблсетроителей,Кораблестроителей,94.12
37341,Садова,ул. Садова,Садовая,92.31
37416,Осиповка,ул. Осиповка,Осипова,93.33
37482,Малковского,ул. Малковского,Маковского,95.24
37695,Болотника,ул. Болотника,Болотникова,90.0
37752,пр кт Кирова,пр-кт Кт Кирова,пр-т Кирова,82.35
37898,Беломррская,ул. Беломррская,Беломорская,90.91
37957,Московсковское шоссе,ш. Московсковское,Московское шоссе,83.33
37958,Понамарева,ул. Понамарева,Пономарева,90.0
37968,40 летия Победы,ул. 40 летия Победы,50 летия Победы,93.33
37975,ген Клюева,ул. Ген Клюева,Ген.Клюева,90.0
38026,Мечнткова,ул. Мечнткова,Мечникова,88.89
38189,Мечникова79,ул. Мечникова79,Мечникова,90.0
38307,"Г, Космоса","ул. Г, Космоса",Г Космоса,94.74
38492,40-лет Пионер. Организации,ул. 40-лет Пионер. Организации,40 лет Пионерской Организации,87.27
38599,217,ул. 217,17,80.0
38631,Гроденская,ул. Гроденская,Гродненская,95.24
38692,Деженева,ул. Деженева,Дежнева,93.33
38725,Юблейный,ул. Юблейный,Юбилейный,94.12
38754,Ордженикидзе,ул. Ордженикидзе,Орджоникидзе,91.67
38815,Эегельса,ул. Эегельса,Энгельса,87.5
38855,Ярмарочный пр.,пр-кт Ярмарочный,пр-д Ярмарочный,90.91
38940,Гороховская,ул. Гороховская,Гороховецкая,86.96
38952,Мещерский б- р,ул. Мещерский б- р,Мещерский бр,92.31
39002,кв Дружба,ул. Кв Дружба,кв-л Дружба,90.0
39065,пер Западный\,пер. Западный\,пер.Западный,94.12
39089,Молодедный мкр,мкр. Молодедный,м-н Молодежный,90.0
39115,Волж. Набержная,ул. Волж. Набержная,Волжская Набержная,84.85
39182,Им. Маршала Рокоссовского,ул. Им. Маршала Рокоссовского,Им. Маршала Рокоссовского К.К.,92.59
39202,Московсекое ш,ш. Московсекое,Московское шоссе,95.24
39257,Г. Плотникова,ул. Г. Плотникова,Плотникова,86.96
39293,Скасырева,ул. Скасырева,Скосырева,88.89
39538,Луннская,ул. Луннская,Лунская,93.33
39569,Новосовесткая,ул. Новосовесткая,Новосоветская,92.31
39643,Турлова,ул. Турлова,Туркова,85.71
39709,А. Пешкова,ул. А. Пешкова,А.Пешкова,94.74
39712,Щербинки- 1Мкр,ул. Щербинки- 1Мкр,Щербинки-1мкр.,88.89
39713,ген Ивлеева,ул. Ген Ивлеева,Ген. Ивлиева,86.96
39912,Постникова,ул. Постникова,Плотникова,90.0
39959,Некрасовой,ул. Некрасовой,Некрасова,84.21
39991,Матросрва,ул. Матросрва,Матросова,88.89
40042,Мещерский 5,ул. Мещерский 5,Мещерский б,90.91
40094,Энтузаистов,ул. Энтузаистов,Энтузиастов,90.91
40110,Дьяковнова,ул. Дьяковнова,Дьяконова,94.74
40390,Зашковая,ул. Зашковая,Замковая,87.5
40391,Локомативная,ул. Локомативная,Локомотивная,91.67
40404,Балакиревская,ул. Балакиревская,Балакирева,86.96
40413,2-ая Лесная,ул. 2-ая Лесная,2-я Лесная,95.24
40422,Союзныйпр,ул. Союзныйпр,Союзный,87.5
40453,Березоаская,ул. Березоаская,Березоская,95.24
40508,Генкина,ул. Генкина,Генкиной,80.0
40707,1-ое мая,ул. 1-ое мая,1-го мая,87.5
40711,Волжский реид,ул. Волжский реид,Волжский рейд,92.31
40735,Лесной городрк,ул. Лесной городрк,Лесной городок,92.86
40756,Озёрная 6 лин,ул. Озерная 6 лин,Озерная 6 линия,92.86
40762,Техорецкая,ул. Техорецкая,Тихорецкая,90.0
40789,Гаврилова,ул. Гаврилова,Вавилова,82.35
40833,Боровская,ул. Боровская,Бобровская,94.74
40911,6-0й Микрорайон,мкр. 6-0й,МКР 6-й,85.71
40931,Большевисиская,ул. Большевисиская,Большевистская,92.86
40960,Б.Мира,ул. Б.Мира,Мира,80.0
40986,пр.ктКарла Маркса,пр-кт КтКарла Маркса,пр.Карла Маркса,92.31
40998,Большевисекая,ул. Большевисекая,Большевитская,92.31
41054,1я Луговая,ул. 1я Луговая,2я Луговая,90.0
41266,Востстания,ул. Востстания,Восстания,94.74
41269,Сормовское,ул. Сормовское,Сормовская,80.0
41300,Г. Ивлиева,ул. Г. Ивлиева,Ген. Ивлиева,90.91
41388,Б.Кузьнечная,ул. Б.Кузьнечная,Б.Кузнечная,95.65
41826,Гужевая,ул. Гужевая,Грушевая,80.0
41879,Гер. Шнитникова,ул. Гер. Шнитникова,Героя Шнитникова,90.32
41884,Усольская,ул. Усольская,Вольская,82.35
42036,С. Перовской,ул. С. Перовской,С.Перовской,95.65
42112,Петейская,ул. Петейская,Путейская,88.89
42203,Б. Заречный,ул. Б. Заречный,Б.Заречный,95.24
42253,Гне. Клюева,ул. Гне. Клюева,Г. Клюева,90.0
